No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
19591;295/80R22.5;Pir;Fg01;15;8,0;1;T;2;5;;
29032;295/80R22.5;Con;Hsr2;10;8,0;;L;NV;12;;
49301;295/80R22.5;Goo;G667;13;5,0;1;L;2;41;8;25
51234;295/80R22.5;Goo;G667;13;1,0;1;L;1;34;35;
100481;295/80R22.5;Pir;Fg01;16;8,0;1;L;1;3;;
100536;295/80R22.5;O;Driver II;13;11,0;;L;NV;14;;
102674;295/80R22.5;Con;Fg85;16;13,0;;L;NV;6;;
EXT29238;295/80R22.5;O;Driver II;13;4,0;1;L;1;5;;
JXE7160F;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;25;;
KVP52566;295/80R22.5;Pir;Tr85;11;10,0;1;T;2;5;25;
KWN40973;295/80R22.5;Pir;Fr85;11;9,0;;L;NV;8;;
S/N;295/80R22.5;Mic;Xde2+ ;11;6,0;1;L;1;35;;
S/N;295/80R22.5;Fat;Sr200;09;2,0;1;L;1;40;;
S/N;295/80R22.5;O;S360;13;1,0;1;L;2;31;;
UCH30601P;295/80R22.5;Mic;Xze2+;09;4,0;1;L;2;12;;
UCP08473M;295/80R22.5;Mic;Xze2+;13;9,0;1;L;1;41;35;
ZCK04645M;295/80R22.5;Mic;Xze2+;13;7,0;1;L;1;34;;
S/N;275/80R22.5;Goo;G665;125;8,0;1;L;1;8;;
S/N;275/80R22.5;Con;Hsr2;12;1,0;1;L;1;17;;
S/N;275/80R22.5;Con;Hsr2;12;2,0;1;L;1;34;;
72;275/80R22.5;Con;Hsr2;12;1,0;1;L;1;17;;
11834;295/80R22.5;Pir;Fr85;11;9,0;1;L;1;34;2;
11820;295/80R22.5;Pir;Fr85;11;7,0;;L;NV;12;;
13170;295/80R22.5;Mic;Xde2+;11;2,0;1;L;2;35;;
13503;295/80R22.5;Pir;Fg85;12;7,0;1;L;1;2;34;
13876;295/80R22.5;Pir;Fr85;14;8,0;1;T;1;34;;
14032;295/80R22.5;Pir;Fr85;12;8,0;;L;NV;39;;
14262;295/80R22.5;Pir;Fg85;12;6,0;1;L;1;12;;
14329;295/80R22.5;Pir;Fg85;12;3,0;1;T;1;12;;
14555;295/80R22.5;Pir;Fr85;13;6,0;;T;NV;34;35;
14766;295/80R22.5;Pir;Fr85;13;8,0;1;L;1;12;;
14883;295/80R22.5;Mic;Xze2+;12;6,0;1;T;2;34;2;
15083;295/80R22.5;Mic;Xze2+;12;10,0;1;L;1;41;34;
15215;295/80R22.5;Bri;R227;13;3,0;1;L;1;12;;
15850;295/80R22.5;Mic;Xde2+;13;3,0;1;T;1;12;;
16006;295/80R22.5;Pir;Fr85;13;6,0;1;T;1;12;;
16128;295/80R22.5;Pir;Fg85;13;2,0;1;T;1;12;;
16172;295/80R22.5;Pir;Fr85;13;4,0;1;T;2;14;;
16553;295/80R22.5;Mic;Xde2+;13;8,0;1;T;1;34;;
16986;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;35;26;
17021;295/80R22.5;Pir;Fg85;13;4,0;;M;NV;34;34;
17412;295/80R22.5;Pir;Fr01;14;11,0;1;L;1;41;35;
18772;295/80R22.5;Pir;Fg01;04;12,0;1;L;1;34;;
19731;295/80R22.5;Pir;Fg01;13;10,0;1;L;1;6;;
50861;295/80R22.5;Pir;Fr01;13;9,0;1;L;3;12;;
1616865;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;5;2;
' 07444;295/80R22.5;Mic;Xze2+;08;2,0;1;L;2;40;;
ACK03479M;295/80R22.5;Mic;Xze2+;13;2,0;1;T;1;8;;
KSV61869;295/80R22.5;Pir;Fr85;p9;4,0;2;L;1;12;25;
KVU51393;295/80R22.5;Pir;Fg85;15;8,0;1;L;1;3;;
Kxu94369;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;12;;
S/N;295/80R22.5;Con;Hdr2;13;;1;L;1;12;;
S/N;295/80R22.5;Bri;R268;13;7,0;;L;NV;14;;
S/N;295/80R22.5;Bri;R268;13;10,0;;L;NV;12;;
S/N;295/80R22.5;Con;Hsr2;01;5,0;1;L;1;14;;
S/N;295/80R22.5;Bri;M840;13;5,0;;M;NV;14;;
St4211;295/80R22.5;Mic;Xze2+;07;2,0;1;L;1;40;40;
ZCK04925M;295/80R22.5;Mic;Xze2+;13;3,0;1;L;1;34;2;
16828;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;40;;
15651;295/80R22.5;Mic;Xe2+;13;12,0;2;M;2;32;34;
100180;295/80R22.5;Pir;Fg01;15;13,0;;M;NV;40;;
36230;295/80R22.5;Goo;G667;11;9,0;1;L;3;41;34;35
13869;295/80R22.5;Pir;Fr85;12;7,0;1;L;1;12;;
13191;295/80R22.5;Mic;Xde2+;11;4,0;1;T;3;34;35;
17812;295/80R22.5;Mic;Xze;14;8,0;1;L;1;8;;
S/N;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;;
15666;295/80R22.5;Mic;Xde2+;13;1,0;1;L;2;34;;
16415;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;35;8
S/N;295/80R22.5;Bri;R268;13;8,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R268;13;9,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R297;13;8,0;1;L;1;34;;
17119;295/80R22.5;Pir;Fg01;14;3,0;1;T;1;40;;
18702;295/80R22.5;Pir;Fh01;15;10,0;1;L;1;12;;
S/N;295/80R22.5;Fir;Fs511;10;5,0;1;L;2;2;9;
53985;295/80R22.5;Goo;G658;14;8,0;1;L;2;34;2;
15399;295/80R22.5;Mic;Xde2+;13;7,0;1;L;2;41;34;35
14628;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;41;34;35
17086;295/80R22.5;Pir;Fg01;14;3,0;1;L;1;40;;
18728;295/80R22.5;Pir;Fg01;15;6,0;1;L;1;5;;
YCK59202A;295/80R22.5;Mic;X Multi;14;7,0;1;L;2;14;;
64419;275/80R22.5;Goo;G665;13;1,0;;L;NV;12;14;
9525;295/80R22.5;Pir;Fr85;09;6,0;1;L;1;34;;
12387;295/80R22.5;Mic;Xze2+;11;6,0;1;L;1;40;;
12749;295/80R22.5;Mic;Xze2+;11;6,0;1;L;2;12;;
13471;295/80R22.5;Pir;Fr85;11;7,0;1;T;1;35;2;
15615;295/80R22.5;Mic;Xze2+;13;8,0;1;L;2;34;;
15975;295/80R22.5;Bri;R227;13;9,0;1;T;1;41;34;8
16032;295/80R22.5;Pir;FR85;13;10,0;;L;NV;34;2;
16481;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;34;26;
16828;295/80R22.5;Pir;Fg85;13;6,0;1;T;1;40;12;
17055;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;8;;
17119;295/80R22.5;Pir;Fg01;14;3,0;1;T;1;40;;
17139;295/80R22.5;Pir;Fg85;13;8,0;1;T;1;41;34;35
38438;295/80R22.5;Mic;Xze2+;12;10,0;1;L;2;32;34;
100303;295/80R22.5;Pir;Fg01;15;1,0;;M;NV;5;;
CCK11797P;295/80R22.5;Mic;Xde2+;13;4,0;1;T;1;25;;
KVS2129F;295/80R22.5;Pir;Fr85;11;10,0;1;T;1;6;;
S/N;295/80R22.5;Bri;R268;13;9,0;;L;NV;12;;
XCK18789A;295/80R22.5;Mic;Xze;13;3,0;1;L;1;12;;
ZCG12152T;295/80R22.5;Mic;Xze2+;07;1,0;1;T;1;12;9;
S/N;295/80R22.5;Goo;G667;09;10,0;1;L;1;34;;
53985;295/80R22.5;Goo;G658;14;9,0;1;M;1;2;34;
3214;295/80R22.5;Bri;R155;12;3,0;1;T;1;2;34;
S/N;295/80R22.5;Bri;M729;13;2,0;1;T;4;12;;
47880;295/80R22.5;Pir;Fr85;13;11,0;1;L;2;12;;
17070;295/80R22.5;Pir;Fr01;13;8,0;1;L;2;32;34;
10104;295/80R22.5;Mic;Xze2+;10;6,0;1;L;1;40;;
14341;295/80R22.5;Pir;Fg85;12;9,0;1;L;1;40;;
12828;295/80R22.5;Pir;Fr85;11;5,0;1;L;1;5;41;34
15775;295/80R22.5;Mic;Xde2+;13;12,0;1;L;2;8;;
YCK41881P;295/80R22.5;Mic;Xde2+;13;12,0;2;M;2;8;;
19761;295/80R22.5;Pir;Fg01;15;8,0;;M;NV;25;;
KWU31124;295/80R22.5;Pir;Fg85;14;13,0;1;T;1;34;8;
100058;295/80R22.5;O;Driver II;16;8,0;1;L;1;34;2;
18241;295/80R22.5;Pir;Fg01;14;13,0;1;T;1;34;;
17125;295/80R22.5;Pir;Fg01;14;4,0;1;L;1;12;;
15290;295/80R22.5;Pir;Fr85;13;7,0;1;L;1;32;34;
15558;295/80R22.5;Mic;Xze2+;13;15,0;1;M;2;14;;
11457;295/80R22.5;Pir;Tr85;10;9,0;2;L;2;32;34;14
16314;295/80R22.5;Bri;R297;13;1,0;1;L;1;32;34;
16071;295/80R22.5;Pir;Fg85;13;4,0;1;L;1;34;32;12
18727;295/80R22.5;Pir;Fh01;15;10,0;1;L;1;3;3;3
16413;295/80R22.5;Bri;R227;13;8,0;1;L;1;32;34;
17953;295/80R22.5;Mic;X Multi;14;10,0;1;L;3;8;;
KVP39049;295/80R22.5;Pir;Fr85;11;2,0;1;L;2;12;;
15235;295/80R22.5;Bri;R227;13;7,0;1;L;1;2;;
9657;295/80R22.5;Pir;Fr85;10;9,0;1;L;1;32;34;35
13831;295/80R22.5;Pir;Fr85;12;5,0;2;L;2;32;34;
14536;295/80R22.5;Pir;Fg01;13;1,0;;L;NV;34;;
14980;295/80R22.5;Mic;Xze2;13;10,0;1;L;2;2;;
14984;295/80R22.5;Pir;Fg01;14;12,0;1;T;1;41;25;
15406;295/80R22.5;Mic;Xze2+;13;10,0;1;L;2;41;34;
16724;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;12;;
16897;295/80R22.5;Pir;Fg85;13;R;1;L;1;5;;
16899;295/80R22.5;Pir;Fg85;13;6,0;;M;NV;40;;
16920;295/80R22.5;Pir;Fg85;13;11,0;1;L;1;34;35;
17027;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;32;34;
17042;295/80R22.5;Pir;Fg85;13;11,0;1;L;1;14;;
17428;295/80R22.5;Pir;Fr01;14;R;1;L;1;34;;
17448;295/80R22.5;Pir;Fg01;14;R;1;L;1;34;;
18036;295/80R22.5;Pir;Fg01;14;9,0;1;T;1;5;10;
18058;295/80R22.5;Pir;Tr85;14;R;1;T;1;34;26;
18257;295/80R22.5;Pir;Fg01;14;11,0;1;L;1;38;;
18408;295/80R22.5;Pir;Fg01;14;3,0;;M;NV;3;;
44562;295/80R22.5;Con;Hsr2;1314;6,0;1;L;1;12;34;2
100425;295/80R22.5;Pir;Fg01;16;1,0;1;L;1;34;;
100430;295/80R22.5;Pir;Fg01;14;R;1;L;1;5;;
18148;295/80R22.5;Pir;Fg01;14;12,0;1;L;2;8;;
16276;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;32;34;
14922;295/80R22.5;Mic;Xze 2+;13;7,0;1;T;1;32;34;
BCK 29693B;295/80R22.5;Mic;Xde 2+;13;10,0;1;L;3;34;;
15595;295/80R22.5;Mic;Xze 2+;13;19,0;1;L;1;34;;
9041;295/80R22.5;Pir;Tr85;09;8,0;2;L;2;32;8;
17096;295/80R22.5;Pir;Fg01;14;4,0;1;T;1;40;;
13836;295/80R22.5;Pir;Fr85;12;6,0;1;L;4;12;34;
KXP 64172;295/80R22.5;Pir;Fg85;13;11,0;1;L;2;12;;
16803;295/80R22.5;Pir;Fg85;13;4,0;1;L;1;26;;
41592;295/80R22.5;Goo;G667;12;10,0;1;L;3;12;;
14401;295/80R22.5;Pir;Fg01;12;7,0;;M;NV;12;;
12511;295/80R22.5;Pir;Fr85;11;11,0;1;L;1;14;;
12802;295/80R22.5;Mic;Xze 2+;11;7,0;1;L;2;2;34;
18704;295/80R22.5;Pir;Fh01;15;9,0;1;L;1;2;34;
C58433;295/80R22.5;Pir;Fr85;14;1,0;2;L;1;34;;
72408;295/80R22.5;Goo;G658;08;3,0;1;L;1;9;;
16793;295/80R22.5;Pir;Fg85;13;10,0;2;N;1;12;;
18718;295/80R22.5;Pir;Fg01;14;1,0;1;T;1;8;;
14711;295/80R22.5;Pir;Fr85;13;8,0;1;L;1;12;;
17556;295/80R22.5;Mic;XD;14;12,0;1;T;2;35;;
16828;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;40;;
15651;295/80R22.5;Mic;Xe2+;13;12,0;2;M;2;32;34;
16120;295/80R22.5;Pir;Fg85;13;5,0;1;L;2;32;34;
1576;295/80R22.5;Bri;M729;13;6,0;1;L;2;8;;
17074;295/80R22.5;Pir;Fg01;14;6,0;1;L;1;40;;
15773;295/80R22.5;Mic;Xd32+;13;2,0;1;T;3;26;;
6110;295/80R22.5;Pir;Fr85;13;4,0;1;L;1;41;34;25
16623;295/80R22.5;Mic;Xze2+;13;10,0;1;L;2;32;34;
15124;295/80R22.5;Pir;Fg85;13;11,0;1;L;2;25;;
11045;295/80R22.5;Pir;Fr85;10;8,0;1;L;3;32;34;
16927;295/80R22.5;Pir;Fg85;13;6,0;1;L;1;34;;
IMP/851;295/80R22.5;Mic;Xze2+;13;12,0;1;L;2;32;34;
IMP/2238;295/80R22.5;Pir;Fg85;13;7,0;1;T;2;35;;
IPM/476;295/80R22.5;Pir;Fg85;13;1,0;;L;NV;17;;
100472;295/80R22.5;Pir;Fg01;16;11,0;1;L;1;34;;Pirelli
15008;295/80R22.5;Mic;Xde2+;13;4,0;1;T;3;32;;
18217;295/80R22.5;Pir;Fg01;14;9,0;1;T;2;40;;
14717;295/80R22.5;Pir;Fr85;13;11,0;1;L;2;2;34;
15171;295/80R22.5;Bri;R227;12;8,0;1;L;2;32;34;
13283;295/80R22.5;Pir;Fr85;11;17,0;1;L;3;35;;
58341;295/80R22.5;Pir;Fr85;13;8,0;1;L;1;2;34;
16784;295/80R22.5;Pir;Fg85;13;12,0;1;L;2;35;34;
16092;295/80R22.5;Pir;Fr85;13;9,0;1;L;2;2;34;
19900;295/80R22.5;O;Driver II;15;2,0;;L;NV;8;;
18153;295/80R22.5;Pir;Fg01;14;6,0;;L;NV;14;;
14626;295/80R22.5;Pir;Fg85;13;3,0;1;T;2;12;;
15882;295/80R22.5;Bri;R227;13;R;1;L;2;34;3;
17305;295/80R22.5;Pir;Fg85;14;5,0;1;L;1;34;3;
18180;295/80R22.5;Pir;Fg01;14;R;1;L;1;5;;
100180;295/80R22.5;Pir;Fg01;15;13,0;;M;NV;40;;
36230;295/80R22.5;Goo;G667;11;9,0;1;L;3;41;34;35
13869;295/80R22.5;Pir;Fr85;12;7,0;1;L;1;12;;
13191;295/80R22.5;Mic;Xde2+;11;4,0;1;T;3;34;35;
17812;295/80R22.5;Mic;Xze;14;8,0;1;L;1;8;;
S/N;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;;
15666;295/80R22.5;Mic;Xde2+;13;1,0;1;L;2;34;;
16415;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;35;8
S/N;295/80R22.5;Bri;R268;13;8,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R268;13;9,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R297;13;8,0;1;L;1;34;;
17119;295/80R22.5;Pir;Fg01;14;3,0;1;T;1;40;;
18702;295/80R22.5;Pir;Fh01;15;10,0;1;L;1;12;;
S/N;295/80R22.5;Fir;Fs511;10;5,0;1;L;2;2;9;
53985;295/80R22.5;Goo;G658;14;8,0;1;L;2;34;2;
15399;295/80R22.5;Mic;Xde2+;13;7,0;1;L;2;41;34;35
14628;295/80R22.5;Pir;Fg85;13;10,0;1;L;2;41;34;35
17086;295/80R22.5;Pir;Fg01;14;3,0;1;L;1;40;;
18728;295/80R22.5;Pir;Fg01;15;6,0;1;L;1;5;;
YCK59202A;295/80R22.5;Mic;X Multi;14;7,0;1;L;2;14;;
48445;295/80R22.5;Pir;Fr85;13;10,0;1;L;1;32;34;
17347;295/80R22.5;Pir;Fr85;14;12,0;1;L;1;34;;
13548;295/80R22.5;Pir;Fr85;12;5,0;2;L;2;32;;
14472;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;34;;
YCR23451A;295/80R22.5;Mic;X Multi;14;8,0;1;L;1;34;35;
15148;295/80R22.5;Mic;Xze2+;12;6,0;1;L;2;32;34;
14576;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;12;;
1368;295/80R22.5;Pir;Fg85;13;11,0;1;L;2;32;34;
14438;295/80R22.5;Pir;Fg85;12;6,0;1;L;2;14;10;
YCR40803A;295/80R22.5;Mic;X Multi;14;11,0;1;L;3;12;;
15784;295/80R22.5;Mic;Xde2+;13;14,0;2;L;2;34;35;
16748;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;35;26;
16039;295/80R22.5;Pir;Fr85;13;9,0;1;L;1;12;;
16038;295/80R22.5;Pir;Fr85;13;10,0;1;L;1;40;12;
47626;295/80R22.5;Pir;Fr85;13;5,0;1;L;3;32;34;
17303;295/80R22.5;Pir;Fg85;14;11,0;1;1;1;26;;
17537;295/80R22.5;Pir;Tr85;14;10,0;1;T;2;32;34;
16400;295/80R22.5;Bri;Fr85;13;9,0;1;T;1;32;34;
17329;295/80R22.5;Pir;Fr85;14;8,0;;M;NV;35;Pirelli;
102682;295/80R22.5;Con;Hs3;16;10,0;;L;NV;3;5;
14406;295/80R22.5;Pir;Fg85;12;10,0;1;L;1;32;34;
33166;295/80R22.5;Con;Hsr2;11;10,0;2;M;1;12;;
16929;295/80R22.5;Pir;Fg85;13;1,0;1;M;1;32;34;
16046;295/80R22.5;Pir;Fg85;13;12,0;1;L;2;41;35;
302501;295/80R22.5;Pir;Fh75;11;1,0;1;L;1;14;;
KXY98077;295/80R22.5;Pir;Fr85;13;2,0;;L;NV;8;;
18346;295/80R22.5;Pir;Fg01;15;5,0;1;T;1;5;;
IMP/85;295/80R22.5;Bri;M729;14;2,0;1;T;1;40;;
18196;295/80R22.5;Pir;Tr01;14;10,0;1;L;2;34;;
15771;295/80R22.5;Mic;Xze 2+;13;5,0;1;T;1;8;;
57732;295/80R22.5;Pir;Fr85;14;10,0;1;L;1;12;;
YCR83806A;295/80R22.5;Mic;X Multi D;14;11,0;1;L;3;34;34;35
15001;295/80R22.5;Mic;Xze 2+;13;6,0;1;L;2;14;;
15522;295/80R22.5;Mic;Xde 2+;13;11,0;1;T;3;32;34;
16523;295/80R22.5;Mic;Xde 2+;13;7,0;1;T;1;35;;
18088;295/80R22.5;Pir;Fg01;14;3,0;1;L;1;14;;
17054;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;25;34;2
16430;295/80R22.5;Bri;M729;13;10,0;1;L;2;32;34;
14241;295/80R22.5;Pir;Tr85;12;13,0;1;T;2;32;;
14583;295/80R22.5;Pir;Fg85;13;4,0;1;T;2;41;34;
103335;295/80R22.5;Pir;Fg85;13;R;2;L;2;34;;
18282;295/80R22.5;Pir;Fg85;14;2,0;1;T;1;34;;
15050;295/80R22.5;Mic;Fg85;13;R;1;L;2;26;;
KWU63522;295/80R22.5;Pir;Fg85;14;R;2;M;NV;34;;
15784;295/80R22.5;Mic;Xde2+;13;R;2;M;NV;41;34;35
15932;295/80R22.5;Bri;R227;13;1,0;1;M;2;32;34;
44196;295/80R22.5;Pir;Tr85;13;4,0;1;M;2;32;34;
16917;295/80R22.5;Pir;Fg85;13;4,0;1;M;1;12;;
15182;295/80R22.5;Bri;R227;12;1,0;1;M;1;32;34;
14856;295/80R22.5;Mic;Xde2+;13;9,0;1;T;1;3;;
17743;295/80R22.5;Mic;X Multi D;14;9,0;1;T;1;41;34;35
BCR72730A;295/80R22.5;Mic;X Multi D;14;11,0;1;L;3;2;10;
17247;295/80R22.5;Pir;Fg85;14;R;1;M;1;3;;
102608;295/80R22.5;Pir;Fg85;16;R;;M;NV;5;;
15450;295/80R22.5;Mic;Xze2+;13;10,0;1;L;1;32;34;
16815;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;34;12;
15196;295/80R22.5;Pir;Fg85;12;3,0;1;L;1;32;34;
16507;295/80R22.5;Pir;Fg85;13;4,0;1;T;1;12;;
49927;295/80R22.5;Pir;Fg01;13;7,0;1;L;1;40;;
18203;295/80R22.5;Pir;Fg01;06;R;1;T;1;38;;
18657;295/80R22.5;Pir;Fh01;15;5,0;1;L;1;32;34;
18096;295/80R22.5;Pir;Fg01;14;7,0;1;L;1;35;;
16499;295/80R22.5;Pir;Fg85;13;15,0;1;T;1;5;;
16877;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;34;35;
52741;295/80R22.5;Pir;Tr85;14;5,0;1;L;1;8;34;
15580;295/80R22.5;Mic;Xze2+;13;10,0;1;L;1;32;34;
544217;295/80R22.5;Goo;G658;14;6,0;1;L;1;2;10;
100217;295/80R22.5;Pir;Fg01;16;5,0;;M;NV;12;;
15923;295/80R22.5;Bri;R227;13;10,0;1;T;2;41;34;35
13833;295/80R22.5;Pir;Fr85;2312;4,0;1;T;1;12;;XK
15106;295/80R22.5;Mic;Xde2+;'0313;R;2;L;4;41;34;6T
100758;295/80R22.5;Pir;Fh01;'0816;7,0;2;L;NV;2;34;XE
18703;295/80R22.5;Pir;Fh01;1415;6,0;1;L;1;34;2;XE
16781;295/80R22.5;Pir;Fg85;2313;R;1;L;1;35;;XK
102810;295/80R22.5;Pir;Fr85;3616;R;1;T;1;25;;XK
ZCK04544M;295/80R22.5;Mic;Xze;'0913;9,0;1;L;2;32;34;B8
15353;295/80R22.5;Pir;Fg85;1313;10,0;1;L;2;32;34;XK
17103;295/80R22.5;Pir;Fg01;'0814;10,0;1;L;2;32;34;XK
